Champ 1
Plaine 2
Ocean 3
Marraie 4
Foret 5
Mine 6

Numero_Plaque tuile_1 NB_couronne tuile_2 NB_couronne
1 1 0 1 0
2 1 0 1 0
3 5 0 5 0
4 5 0 5 0
5 5 0 5 0
6 5 0 5 0
7 3 0 3 0
8 3 0 3 0
9 3 0 3 0
10 2 0 2 0
11 2 0 2 0
12 4 0 4 0
13 1 0 5 0
14 1 0 3 0
15 1 0 2 0
16 1 0 4 0
17 5 0 3 0
18 5 0 2 0
19 1 1 5 0
20 1 1 3 0 
21 1 1 2 0
22 1 1 4 0
23 1 1 6 0
24 5 1 1 0
25 5 1 1 0
26 5 1 1 0
27 5 1 1 0
28 5 1 3 0
29 5 1 2 0
30 3 1 1 0
31 3 1 1 0
32 3 1 5 0
33 3 1 5 0
34 3 1 5 0
35 3 1 5 0
36 1 0 2 1
37 3 0 2 1
38 1 0 4 1
39 1 0 4 1
40 6 1 1 0
41 1 0 2 2
42 3 0 2 2
43 2 0 4 1
44 1 0 2 2 
45 6 2 1 0
46 4 0 6 2
47 4 0 6 2
48 1 0 6 3
